一,親譲
親譲,（
（,おやゆず
おやゆず,）
）,りの
りの,無鉄砲
無鉄砲,（
（,むてっぽう
むてっぽう,）
）,で
で,小供
小供,の
の,時
時,から
から,損
損,ばかりしている
ばかりしている,。
。,小学校
小学校,に
に,居
居,る
る,時分学校
時分学校,の
の,二階
二階,から
から,飛
飛,び
び,降
降,りて
りて,一週間
一週間,ほど
ほど,腰
腰,（
（,こし
こし,）
）,を
を,抜
抜,（
（,ぬ
ぬ,）
）,かした
かした,事
事,がある
がある,。
。,なぜそんな
なぜそんな,無闇
無闇,（
（,むやみ
むやみ,）
）,をしたと
をしたと,聞
聞,く
く,人
人,があるかも
があるかも,知
知,れぬ
れぬ,。
。,別段深
別段深,い
い,理由
理由,でもない
でもない,。
。,新築
新築,の
の,二階
二階,から
から,首
首,を
を,出
出,していたら
していたら,、
、,同級生
同級生,の
の,一人
一人,が
が,冗談
冗談,（
（,じょうだん
じょうだん,）
）,に
に,、
、,いくら
いくら,威張
威張,（
（,いば
いば,）
）,っても
っても,、
、,そこから
そこから,飛
飛,び
び,降
降,りる
りる,事
事,は
は,出来
出来,まい
まい,。
。,弱虫
弱虫,や
や,ー
ー,い
い,。
。,と
と,囃
囃,（
（,はや
はや,）
）,したからである
したからである,。
。,小使
小使,（
（,こづかい
こづかい,）
）,に
に,負
負,ぶさって
ぶさって,帰
帰,って
って,来
来,た
た,時
時,、
、,おやじが
おやじが,大
大,きな
きな,眼
眼,（
（,め
め,）
）,をして
をして,二階
二階,ぐらいから
ぐらいから,飛
飛,び
び,降
降,りて
りて,腰
腰,を
を,抜
抜,かす
かす,奴
奴,（
（,やつ
やつ,）
）,があるかと
があるかと,云
云,（
（,い
い,）
）,ったから
ったから,、
、,この
この,次
次,は
は,抜
抜,かさずに
かさずに,飛
飛,んで
んで,見
見,せますと
せますと,答
答,えた
えた,。
。,親類
親類,のものから
のものから,西洋製
西洋製,の
の,ナイフ
ナイフ,を
を,貰
貰,（
（,もら
もら,）
）,って
って,奇麗
奇麗,（
（,きれい
きれい,）
）,な
な,刃
刃,（
（,は
は,）
）,を
を,日
日,に
に,翳
翳,（
（,かざ
かざ,）
）,して
して,、
、,友達
友達,（
（,ともだち
ともだち,）
）,に
に,見
見,せていたら
せていたら,、
、,一人
一人,が
が,光
光,る
る,事
事,は
は,光
光,るが
るが,切
切,れそうもないと
れそうもないと,云
云,った
った,。
。,切
切,れぬ
れぬ,事
事,があるか
があるか,、
、,何
何,でも
でも,切
切,ってみせると
