上「,あの
あの,泥坊
泥坊,が
が,羨
羨,（
（,うらやま
うらやま,）
）,しい
しい,」
」,二人
二人,の
の,間
間,にこんな
にこんな,言葉
言葉,が
が,交
交,（
（,かわ
かわ,）
）,される
される,程
程,、
、,其頃
其頃,（
（,そのころ
そのころ,）
）,は
は,窮迫
窮迫,（
（,きゅうはく
きゅうはく,）
）,していた
していた,。
。,場末
場末,（
（,ばすえ
ばすえ,）
）,の
の,貧弱
貧弱,な
な,下駄屋
下駄屋,の
の,二階
二階,の
の,、
、,ただ
ただ,一間
一間,しかない
しかない,六畳
六畳,に
に,、
、,一閑張
一閑張,りの
りの,破
破,れ
れ,机
机,を
を,二
二,つ
つ,並
並,べて
べて,、
、,松村武
松村武,とこの
とこの,私
私,とが
とが,、
、,変
変,な
な,空想
空想,ばかり
ばかり,逞
逞,（
（,たくま
たくま,）
）,しゅうして
しゅうして,、
、,ゴロゴロ
ゴロゴロ,していた
していた,頃
頃,のお
のお,話
話,である
である,。
。,もう
もう,何
何,もかも
もかも,行詰
行詰,って
って,了
了,（
（,しま
しま,）
）,って
って,、
、,動
動,きの
きの,取
取,れなかった
れなかった,二人
二人,は
は,、
、,丁度
丁度,その
その,頃世間
頃世間,を
を,騒
騒,がせた
がせた,大泥坊
大泥坊,の
の,、
、,巧
巧,みなやり
みなやり,口
口,を
を,羨
羨,む
む,様
様,な
な,、
、,さもしい
さもしい,心持
心持,（
（,こころもち
こころもち,）
）,になっていた
になっていた,。
。,その
その,泥坊事件
泥坊事件,というのが
というのが,、
、,このお
このお,話
話,の
の,本筋
本筋,に
に,大関係
大関係,を
を,持
持,っているので
っているので,、
、,茲
茲,（
（,ここ
ここ,）
）,に
に,ザッ
ザッ,とそれをお
とそれをお,話
話,して
して,置
置,くことにする
くことにする,。
。,芝区
芝区,のさる
のさる,大
大,きな
きな,電気工場
電気工場,の
の,職工給料日当日
職工給料日当日,の
の,出来事
出来事,であった
であった,。
。,十数名
十数名,の
の,賃銀計算係
賃銀計算係,が
が,、
、,一万
一万,に
に,近
近,い
い,職工
職工,の
の,タイム
タイム,・
・,カ
カ,ー
ー,ド
ド,から
から,、
、,夫
夫,々（
々（,それぞれ
それぞれ,）
）,一
一,ヶ
ヶ,月
月,の
の,賃銀
賃銀,を
を,計算
計算,して
して,、
、,山
山,と
と,積
積,まれた
まれた,給料袋
給料袋,の
の,中
中,へ
へ,、
、,当日銀行
当日銀行,から
から,引出
引出,された
された,、
、,一番
一番,の
の,支那鞄
支那鞄,に
に,一杯
一杯,もあろうという
もあろうという,、
、,二十円
二十円,、
、,十円
十円,、
、,五円
五円,などの
などの,紙幣
紙幣,（
（,さつ
さつ,）
）,を
を,汗
汗,だくになって
だくになって,詰込
詰込,んでいる
んでいる,最中
最中,に
に,、
、,事務所
事務所,の
の,玄関
玄関,へ
へ,一人
一人,の
の,紳士
紳士,が
が,訪
訪,れた
れた,。
。,受付
受付,の
の,女
女,が
が,来意
来意,を
を,尋
尋,ねると
ねると,、
、,私
私,は
は,朝日新聞
朝日新聞,の
の,記者
記者,であるが
であるが,、
、,支配人
支配人,に
に,一寸
一寸,（
（,ちょっと
ちょっと,）
）,お
お,眼
眼,にかかり
にかかり,度
度,（
（,た
た,）
）,いという
いという,。
。,そこで
そこで,女
女,が
が,、
、,東京朝日新聞社会部記者
東京朝日新聞社会部記者,と
と,肩書
肩書,のある
のある,名刺
名刺,を
を,持
持,って
って,、
、,支配人
支配人,にこの
にこの,事
事,を
を,通
通,じた
じた,。
。,幸
幸,（
（,さいわい
さいわい,）
）,なことには
なことには,、
、,この
この,支配人
支配人,は
は,、
、,新聞記者操縦法
新聞記者操縦法,がうまいことを
がうまいことを,、
、,一
一,つの
つの,自慢
自慢,にしている
にしている,男
男,であった
であった,。
。,のみならず
のみならず,、
、,新聞記者
新聞記者,を
を,相手
相手,に
に,、
、,法螺
法螺,（
（,ほら
ほら,）
）,を
を,吹
吹,いたり
いたり,、
、,自分
自分,の
の,話
話,が
が,何
何,々
々,氏談
氏談,などとして
などとして,、
、,新聞
新聞,に
に,載
載,せられたりすることは
せられたりすることは,、
、,大人気
大人気,ないとは
ないとは,思
思,いながら
いながら,、
、,誰
誰,しも
しも,悪
悪,い
い,気持
気持,はしないものである
はしないものである,。
。,社会部記者
社会部記者,と
と,称
称,する
する,男
男,は
は,、
、,寧
寧,（
（,むし
むし,）
）,ろ
ろ,快
快,（
（,こころよ
こころよ,）
）,く
く,支配人
支配人,の
の,部屋
部屋,へ
へ,請
請,（
（,しょう
しょう,）
）,じられた
じられた,。
。,大
大,きな
きな,鼈甲縁
鼈甲縁,（
（,べっこうぶち
べっこうぶち,）
）,の
の,眼鏡
眼鏡,をかけ
をかけ,、
、,美
